127.0.0.1 - - [09/Dec/2023:00:01:43 -0300] "GET /agis/aluno/ HTTP/1.1" 404 275
127.0.0.1 - - [09/Dec/2023:00:01:44 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:00:01:48 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:00:01:48 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:00:01:48 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:00:01:48 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:00:01:53 -0300] "GET /agis/secretaria/turma/lista HTTP/1.1" 200 4746
127.0.0.1 - - [09/Dec/2023:00:01:54 -0300] "GET /agis/secretaria/turma/main.js HTTP/1.1" 404 129
127.0.0.1 - - [09/Dec/2023:00:01:54 -0300] "GET /agis/secretaria/turma/main.css HTTP/1.1" 404 130
127.0.0.1 - - [09/Dec/2023:00:01:58 -0300] "GET /agis/secretaria/professor/lista HTTP/1.1" 200 4393
127.0.0.1 - - [09/Dec/2023:00:01:58 -0300] "GET /agis/secretaria/professor/main.css HTTP/1.1" 404 134
127.0.0.1 - - [09/Dec/2023:00:01:58 -0300] "GET /agis/secretaria/professor/main.js HTTP/1.1" 404 133
127.0.0.1 - - [09/Dec/2023:00:01:58 -0300] "GET /agis/secretaria/professor/main.js HTTP/1.1" 404 133
127.0.0.1 - - [09/Dec/2023:00:01:59 -0300] "GET /agis/secretaria/professor/lista HTTP/1.1" 200 4393
127.0.0.1 - - [09/Dec/2023:00:01:59 -0300] "GET /agis/secretaria/professor/main.css HTTP/1.1" 404 134
127.0.0.1 - - [09/Dec/2023:00:01:59 -0300] "GET /agis/secretaria/professor/main.js HTTP/1.1" 404 133
127.0.0.1 - - [09/Dec/2023:00:01:59 -0300] "GET /agis/secretaria/professor/main.js HTTP/1.1" 404 133
127.0.0.1 - - [09/Dec/2023:00:02:00 -0300] "GET /agis/secretaria/disciplina/lista HTTP/1.1" 200 4753
127.0.0.1 - - [09/Dec/2023:00:02:00 -0300] "GET /agis/secretaria/disciplina/main.css HTTP/1.1" 404 135
127.0.0.1 - - [09/Dec/2023:00:02:00 -0300] "GET /agis/secretaria/disciplina/main.js HTTP/1.1" 404 134
127.0.0.1 - - [09/Dec/2023:00:02:00 -0300] "GET /agis/secretaria/disciplina/main.js HTTP/1.1" 404 134
127.0.0.1 - - [09/Dec/2023:00:02:02 -0300] "GET /agis/secretaria/curso/lista HTTP/1.1" 200 4377
127.0.0.1 - - [09/Dec/2023:00:02:02 -0300] "GET /agis/secretaria/curso/main.js HTTP/1.1" 404 129
127.0.0.1 - - [09/Dec/2023:00:02:02 -0300] "GET /agis/secretaria/curso/main.css HTTP/1.1" 404 130
127.0.0.1 - - [09/Dec/2023:00:02:02 -0300] "GET /agis/secretaria/curso/main.js HTTP/1.1" 404 129
127.0.0.1 - - [09/Dec/2023:00:02:13 -0300] "GET /agis/aluno/login HTTP/1.1" 200 2068
127.0.0.1 - - [09/Dec/2023:00:02:13 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:00:02:13 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:00:02:13 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:00:02:16 -0300] "POST /agis/aluno/logar HTTP/1.1" 302 -
127.0.0.1 - - [09/Dec/2023:00:02:16 -0300] "GET /agis/aluno/disciplinas HTTP/1.1" 500 287
127.0.0.1 - - [09/Dec/2023:00:09:25 -0300] "POST /agis/aluno/logar HTTP/1.1" 302 -
127.0.0.1 - - [09/Dec/2023:00:09:25 -0300] "GET /agis/aluno/disciplinas HTTP/1.1" 500 287
127.0.0.1 - - [09/Dec/2023:01:00:28 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:01:00:31 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:01:00:31 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:01:00:31 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:01:00:31 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:01:00:31 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:10:21:09 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:10:21:10 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:10:21:11 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:10:21:11 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:10:21:11 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:10:21:39 -0300] "GET /agis/aluno/login HTTP/1.1" 200 2068
127.0.0.1 - - [09/Dec/2023:10:21:39 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:21:39 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:10:21:42 -0300] "POST /agis/aluno/logar HTTP/1.1" 302 -
127.0.0.1 - - [09/Dec/2023:10:21:42 -0300] "GET /agis/aluno/disciplinas;jsessionid=6CA913CCD846F3F33144B137B1F57187 HTTP/1.1" 500 287
127.0.0.1 - - [09/Dec/2023:10:24:42 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:10:24:43 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:10:24:43 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:10:24:43 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:10:24:43 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:10:25:16 -0300] "GET /agis/aluno/login HTTP/1.1" 200 2068
127.0.0.1 - - [09/Dec/2023:10:25:16 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:25:16 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:10:25:16 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:26:52 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:10:26:53 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:10:26:54 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:10:26:54 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:10:27:09 -0300] "GET /agis/aluno/login HTTP/1.1" 200 2068
127.0.0.1 - - [09/Dec/2023:10:27:09 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:27:09 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:10:27:09 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:27:12 -0300] "POST /agis/aluno/logar HTTP/1.1" 302 -
127.0.0.1 - - [09/Dec/2023:10:27:12 -0300] "GET /agis/aluno/disciplinas HTTP/1.1" 500 287
127.0.0.1 - - [09/Dec/2023:10:31:45 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:10:31:46 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:10:31:46 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:10:31:46 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:10:31:46 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:10:32:05 -0300] "GET /agis/aluno/login HTTP/1.1" 200 2068
127.0.0.1 - - [09/Dec/2023:10:32:05 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:32:05 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:10:32:05 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:32:11 -0300] "POST /agis/aluno/logar HTTP/1.1" 302 -
127.0.0.1 - - [09/Dec/2023:10:32:11 -0300] "GET /agis/aluno/disciplinas HTTP/1.1" 200 2984
127.0.0.1 - - [09/Dec/2023:10:32:11 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:10:32:11 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:32:11 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:32:15 -0300] "GET /agis/aluno/historico HTTP/1.1" 200 3310
127.0.0.1 - - [09/Dec/2023:10:32:15 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:10:32:15 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:32:18 -0300] "GET /agis/aluno/historico HTTP/1.1" 200 3310
127.0.0.1 - - [09/Dec/2023:10:32:18 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:32:18 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:10:55:59 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:10:56:00 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:10:56:01 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:10:56:01 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:10:56:01 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:10:56:01 -0300] "GET /favicon.ico HTTP/1.1" 404 775
127.0.0.1 - - [09/Dec/2023:10:56:10 -0300] "GET /agis/aluno/login HTTP/1.1" 200 2068
127.0.0.1 - - [09/Dec/2023:10:56:10 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:10:56:10 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:56:14 -0300] "POST /agis/aluno/logar HTTP/1.1" 302 -
127.0.0.1 - - [09/Dec/2023:10:56:14 -0300] "GET /agis/aluno/disciplinas HTTP/1.1" 200 3007
127.0.0.1 - - [09/Dec/2023:10:56:14 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:56:14 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:10:56:14 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:10:57:31 -0300] "GET / HTTP/1.1" 404 764
127.0.0.1 - - [09/Dec/2023:10:57:32 -0300] "GET /agis/ HTTP/1.1" 200 3331
127.0.0.1 - - [09/Dec/2023:10:57:33 -0300] "GET /agis/main.js HTTP/1.1" 404 112
127.0.0.1 - - [09/Dec/2023:10:57:33 -0300] "GET /agis/main.css HTTP/1.1" 404 113
127.0.0.1 - - [09/Dec/2023:10:57:51 -0300] "GET /agis/aluno/login HTTP/1.1" 200 2068
127.0.0.1 - - [09/Dec/2023:10:57:51 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:57:51 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:10:57:58 -0300] "POST /agis/aluno/logar HTTP/1.1" 302 -
127.0.0.1 - - [09/Dec/2023:10:57:58 -0300] "GET /agis/aluno/disciplinas HTTP/1.1" 200 3066
127.0.0.1 - - [09/Dec/2023:10:57:58 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:57:58 -0300] "GET /agis/aluno/main.css HTTP/1.1" 404 119
127.0.0.1 - - [09/Dec/2023:10:57:58 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:10:57:58 -0300] "GET /agis/aluno/main.js HTTP/1.1" 404 118
127.0.0.1 - - [09/Dec/2023:10:57:58 -0300] "GET /agis/aluno/imgs/logo2.png HTTP/1.1" 404 125
127.0.0.1 - - [09/Dec/2023:10:57:59 -0300] "POST /agis/aluno/historico HTTP/1.1" 405 284
